OrderID,OrderDate,Product,Category,Region,Quantity,UnitPrice
1001,2024-01-05,Wireless Mouse,Electronics,North,3,15.99
1002,2024-01-06,Office Chair,Furniture,South,1,89.99
1003,2024-01-07,Notebook Set,Stationery,North,10,4.50
1004,2024-01-08,Wireless Mouse,Electronics,East,2,15.99
1005,2024-01-10,Desk Lamp,Furniture,West,4,22.50
1006,2024-01-12,Notebook Set,Stationery,South,15,4.50
1007,2024-01-14,Bluetooth Speaker,Electronics,North,1,45.00
1008,2024-01-15,Office Chair,Furniture,East,2,89.99
1009,2024-01-18,Desk Lamp,Furniture,North,3,22.50
1010,2024-01-20,Wireless Mouse,Electronics,South,5,15.99
1011,2024-01-22,Bluetooth Speaker,Electronics,West,2,45.00
1012,2024-01-25,Notebook Set,Stationery,East,8,4.50
1013,2024-02-02,Office Chair,Furniture,North,1,89.99
1014,2024-02-05,Wireless Mouse,Electronics,North,4,15.99
1015,2024-02-08,Desk Lamp,Furniture,South,2,22.50
1016,2024-02-10,Bluetooth Speaker,Electronics,East,3,45.00
1017,2024-02-14,Notebook Set,Stationery,West,12,4.50
1018,2024-02-18,Office Chair,Furniture,South,2,89.99
1019,2024-02-20,Wireless Mouse,Electronics,East,6,15.99
1020,2024-02-25,Desk Lamp,Furniture,North,5,22.50
